股票代码,买入日期,买入价格,卖出日期,卖出价格,持仓天数,收益率,卖出原因
603578,2026-07-07,11.95,2026-07-08,12.31,1,0.028525523012552335,Maximum_Holding_Period
603579,2024-02-21,17.78,2024-02-22,18.43,1,0.034957930258717566,Maximum_Holding_Period
603579,2024-02-22,18.21,2024-02-23,18.54,1,0.01652191103789118,Maximum_Holding_Period
603583,2022-03-21,29.99,2022-03-22,30.06,1,0.0007341113704569151,Maximum_Holding_Period
603585,2026-07-31,9.8,2026-08-03,10.16,1,0.03513469387755102,Maximum_Holding_Period
603596,2026-05-27,34.0,2026-05-28,33.97,1,-0.002482352941176556,Trend_Break_Stop
603598,2023-06-01,10.4,2023-06-02,10.93,1,0.049361538461538505,Maximum_Holding_Period
603603,2022-05-19,3.03,2022-05-20,3.36,1,0.107310891089109,Maximum_Holding_Period
603603,2022-08-18,7.11,2022-08-19,6.7545,1,-0.05160000000000004,Extreme_Risk_Stop
603606,2026-06-16,41.12,2026-06-17,40.87,1,-0.007679766536964959,Trend_Break_Stop
603607,2020-07-13,16.82,2020-07-14,18.4,1,0.09233579072532687,Maximum_Holding_Period
603607,2024-04-22,12.89,2024-04-23,13.06,1,0.011588518231187051,Maximum_Holding_Period
603608,2024-06-06,2.59,2024-06-07,2.4604999999999997,1,-0.05160000000000004,Extreme_Risk_Stop
603612,2026-04-09,26.0,2026-04-10,26.25,1,0.00801538461538458,Maximum_Holding_Period
603612,2026-04-13,25.93,2026-04-14,26.75,1,0.030023602005399264,Maximum_Holding_Period
603615,2024-07-31,10.25,2024-08-01,11.01,1,0.0725463414634147,Maximum_Holding_Period
603616,2022-04-28,7.4,2022-04-29,7.39,1,-0.0029513513513514484,Trend_Break_Stop
603616,2026-07-08,5.77,2026-07-09,5.53,1,-0.04319445407279016,Trend_Break_Stop
603617,2021-01-21,9.91,2021-01-22,9.83,1,-0.009672653884964699,Maximum_Holding_Period
603617,2023-10-18,7.9,2023-10-19,7.66,1,-0.031979746835443086,Trend_Break_Stop
603617,2023-10-26,7.74,2023-10-27,7.61,1,-0.018395865633074892,Maximum_Holding_Period
603617,2025-01-22,7.81,2025-01-23,8.09,1,0.03425147247119092,Maximum_Holding_Period
603618,2025-04-16,6.35,2025-04-17,6.2,1,-0.025222047244094447,Trend_Break_Stop
603619,2020-02-11,13.45,2020-02-12,13.81,1,0.025165799256505573,Maximum_Holding_Period
603626,2025-04-11,7.24,2025-04-14,7.8,1,0.07574806629834256,Maximum_Holding_Period
603626,2026-03-30,21.21,2026-03-31,22.08,1,0.039418387553040994,Maximum_Holding_Period
603628,2022-09-07,15.68,2022-09-08,16.14,1,0.02773673469387754,Maximum_Holding_Period
603628,2024-06-14,14.0,2024-06-17,13.6,1,-0.03017142857142858,Trend_Break_Stop
603629,2024-04-22,23.25,2024-04-23,22.93,1,-0.015363440860215082,Trend_Break_Stop
603633,2020-08-04,16.0,2020-08-05,15.89,1,-0.008474999999999965,Maximum_Holding_Period
603633,2026-07-28,5.64,2026-07-29,5.79,1,0.02499574468085113,Maximum_Holding_Period
603636,2022-04-01,14.8,2022-04-06,14.06,1,-0.05160000000000004,Extreme_Risk_Stop
603636,2026-06-17,9.42,2026-06-18,9.15,1,-0.0302624203821656,Trend_Break_Stop
603638,2026-07-30,19.71,2026-07-31,19.59,1,-0.0076882800608828,Maximum_Holding_Period
603639,2020-07-08,21.6,2020-07-09,22.38,1,0.034511111111110986,Maximum_Holding_Period
603650,2021-12-13,52.04,2021-12-14,55.9,1,0.07257371252882398,Maximum_Holding_Period
603650,2022-05-06,24.31,2022-05-09,25.12,1,0.03171962155491586,Maximum_Holding_Period
603655,2021-04-01,21.72,2021-04-02,23.1,1,0.06193591160221006,Maximum_Holding_Period
603656,2021-08-03,12.85,2021-08-04,12.7,1,-0.013273151750972833,Maximum_Holding_Period
603657,2026-06-17,24.31,2026-06-18,23.094499999999996,1,-0.05160000000000004,Extreme_Risk_Stop
603658,2021-09-07,51.03,2021-09-08,51.05,1,-0.0012080736821477684,Maximum_Holding_Period
603660,2024-04-25,6.48,2024-04-26,6.92,1,0.06630123456790109,Maximum_Holding_Period
603662,2021-07-28,20.57,2021-07-29,22.35,1,0.08493378706854653,Maximum_Holding_Period
603662,2022-07-27,15.85,2022-07-28,16.46,1,0.036885804416403815,Maximum_Holding_Period
603663,2022-07-19,16.8,2022-07-20,18.21,1,0.08232857142857135,Maximum_Holding_Period
603663,2024-02-21,9.43,2024-02-22,9.82,1,0.03975737009544016,Maximum_Holding_Period
603665,2020-07-07,19.6,2020-07-08,19.38,1,-0.012824489795918503,Trend_Break_Stop
603666,2022-05-06,43.08,2022-05-09,41.57,1,-0.036651067780872744,Trend_Break_Stop
603667,2025-04-16,33.57,2025-04-17,33.03,1,-0.01768579088471851,Trend_Break_Stop
603669,2020-06-18,8.28,2020-06-19,8.53,1,0.028593236714975757,Maximum_Holding_Period
603669,2022-05-06,5.65,2022-05-09,6.2,1,0.09574513274336276,Maximum_Holding_Period
603669,2026-08-11,6.07,2026-08-12,6.2,1,0.019816803953871576,Maximum_Holding_Period
603679,2024-04-23,11.45,2024-04-24,12.05,1,0.050801746724890955,Trend_Break_Stop
603679,2024-04-26,12.19,2024-04-29,13.23,1,0.08371583264971298,Maximum_Holding_Period
603679,2026-07-27,15.9,2026-07-28,17.97,1,0.1285886792452829,Maximum_Holding_Period
603683,2024-06-13,8.27,2024-06-14,8.14,1,-0.01731946795646906,Maximum_Holding_Period
603686,2025-01-17,10.2,2025-01-20,10.68,1,0.04545882352941182,Maximum_Holding_Period
603688,2024-07-12,27.68,2024-07-15,27.14,1,-0.021108670520231198,Trend_Break_Stop
603690,2020-04-08,31.2,2020-04-09,31.27,1,0.0006435897435897358,Trend_Break_Stop
603693,2021-05-11,12.67,2021-05-12,12.8,1,0.008660457774269981,Maximum_Holding_Period
603696,2022-05-16,10.4,2022-05-17,9.879999999999999,1,-0.05160000000000015,Extreme_Risk_Stop
603696,2025-05-16,12.8,2025-05-19,13.0,1,0.014025,Maximum_Holding_Period
603701,2022-09-21,11.42,2022-09-22,12.47,1,0.09034395796847643,Maximum_Holding_Period
603703,2026-07-28,8.43,2026-07-29,8.6,1,0.01856607354685651,Maximum_Holding_Period
603707,2020-07-31,46.86,2020-08-03,46.88,1,-0.0011731967562953012,Maximum_Holding_Period
603707,2021-08-02,29.03,2021-08-03,33.68,1,0.15857912504305888,Maximum_Holding_Period
603709,2021-04-14,21.2,2021-04-15,21.4,1,0.00783396226415083,Maximum_Holding_Period
603709,2021-04-15,21.25,2021-04-16,21.45,1,0.007811764705882231,Maximum_Holding_Period
603709,2024-04-26,12.55,2024-04-29,13.59,1,0.08126852589641435,Maximum_Holding_Period
